year,month,value,date
1914,10,-0.09,191410
1914,11,-0.25,191411
1914,12,-0.25,191412
1915,1,-0.3,191501
1915,2,0.07,191502
1915,3,-0.22,191503
1915,4,0.18,191504
1915,5,0.02,191505
1915,6,-0.2,191506
1915,7,-0.01,191507
1915,8,-0.13,191508
1915,9,-0.28,191509
1915,10,-0.49,191510
1915,11,0.15,191511
1915,12,0,191512
1916,1,-0.17,191601
1916,2,-0.27,191602
1916,3,-0.6,191603
1916,4,-0.35,191604
1916,5,-0.37,191605
1916,6,-0.55,191606
1916,7,-0.35,191607
1916,8,-0.41,191608
1916,9,-0.4,191609
1916,10,-0.4,191610
1916,11,-0.56,191611
1916,12,-1.17,191612
1917,1,-0.52,191701
1917,2,-0.89,191702
1917,3,-1,191703
1917,4,-0.63,191704
1917,5,-0.93,191705
1917,6,-0.56,191706
1917,7,-0.25,191707
1917,8,-0.38,191708
1917,9,-0.28,191709
1917,10,-0.71,191710
1917,11,-0.17,191711
1917,12,-1.3,191712
1918,1,-0.65,191801
1918,2,-0.65,191802
1918,3,-0.46,191803
1918,4,-0.77,191804
1918,5,-0.79,191805
1918,6,-0.5,191806
1918,7,-0.43,191807
1918,8,-0.42,191808
1918,9,-0.21,191809
1918,10,-0.03,191810
1918,11,-0.34,191811
1918,12,-0.88,191812
1919,1,-0.61,191901
1919,2,-0.22,191902
1919,3,-0.55,191903
1919,4,0.07,191904
1919,5,-0.44,191905
1919,6,-0.28,191906
1919,7,-0.12,191907
1919,8,-0.19,191908
1919,9,-0.19,191909
1919,10,-0.25,191910
1919,11,-0.67,191911
1919,12,-0.55,191912
1920,1,-0.06,192001
1920,2,-0.64,192002
1920,3,-0.06,192003
1920,4,-0.26,192004
1920,5,-0.15,192005
1920,6,-0.39,192006
1920,7,-0.18,192007
1920,8,-0.3,192008
1920,9,-0.31,192009
1920,10,-0.43,192010
1920,11,-0.48,192011
1920,12,-1.07,192012
1921,1,0.2,192101
1921,2,-0.16,192102
1921,3,-0.25,192103
1921,4,-0.15,192104
1921,5,-0.13,192105
1921,6,-0.02,192106
1921,7,-0.05,192107
1921,8,-0.41,192108
1921,9,-0.22,192109
1921,10,-0.2,192110
1921,11,-0.34,192111
1921,12,-0.05,192112
1922,1,-0.65,192201
1922,2,-0.7,192202
1922,3,-0.11,192203
1922,4,-0.02,192204
1922,5,-0.25,192205
1922,6,-0.11,192206
1922,7,-0.16,192207
1922,8,-0.31,192208
1922,9,-0.34,192209
1922,10,-0.33,192210
1922,11,-0.03,192211
1922,12,-0.16,192212
1923,1,-0.13,192301
1923,2,-0.72,192302
1923,3,-0.4,192303
1923,4,-0.78,192304
1923,5,-0.44,192305
1923,6,-0.21,192306
1923,7,-0.4,192307
1923,8,-0.37,192308
1923,9,-0.25,192309
1923,10,-0.03,192310
1923,11,0.2,192311
1923,12,0.09,192312
1924,1,-0.5,192401
1924,2,-0.31,192402
1924,3,-0.07,192403
1924,4,-0.48,192404
1924,5,-0.23,192405
1924,6,-0.17,192406
1924,7,-0.12,192407
1924,8,-0.27,192408
1924,9,-0.17,192409
1924,10,-0.26,192410
1924,11,0.06,192411
1924,12,-0.42,192412
1925,1,-0.48,192501
1925,2,-0.52,192502
1925,3,-0.12,192503
1925,4,0.04,192504
1925,5,-0.24,192505
1925,6,-0.35,192506
1925,7,-0.32,192507
1925,8,-0.15,192508
1925,9,-0.09,192509
1925,10,-0.3,192510
1925,11,0.24,192511
1925,12,0.55,192512
1926,1,0.55,192601
1926,2,0.41,192602
1926,3,0.41,192603
1926,4,-0.32,192604
1926,5,-0.32,192605
1926,6,-0.14,192606
1926,7,-0.29,192607
1926,8,-0.08,192608
1926,9,-0.07,192609
1926,10,0.07,192610
1926,11,0.07,192611
1926,12,-0.42,192612
1927,1,-0.5,192701
1927,2,-0.29,192702
1927,3,-0.57,192703
1927,4,-0.43,192704
1927,5,-0.3,192705
1927,6,-0.16,192706
1927,7,-0.06,192707
1927,8,-0.23,192708
1927,9,0.15,192709
1927,10,0.36,192710
1927,11,0.07,192711
1927,12,-0.62,192712
1928,1,0.08,192801
1928,2,-0.15,192802
1928,3,-0.46,192803
1928,4,-0.33,192804
1928,5,-0.18,192805
1928,6,-0.35,192806
1928,7,-0.14,192807
1928,8,-0.2,192808
1928,9,-0.1,192809
1928,10,-0.03,192810
1928,11,0.2,192811
1928,12,0.01,192812
1929,1,-0.95,192901
1929,2,-1.2,192902
1929,3,-0.25,192903
1929,4,-0.4,192904
1929,5,-0.36,192905
1929,6,-0.51,192906
1929,7,-0.46,192907
1929,8,-0.25,192908
1929,9,-0.26,192909
1929,10,0.02,192910
1929,11,0.07,192911
1929,12,-1.3,192912
1930,1,-0.62,193001
1930,2,-0.25,193002
1930,3,0.18,193003
1930,4,-0.33,193004
1930,5,-0.29,193005
1930,6,-0.13,193006
1930,7,0.01,193007
1930,8,-0.01,193008
1930,9,-0.29,193009
1930,10,-0.15,193010
1930,11,0.35,193011
1930,12,0,193012
1931,1,-0.06,193101
1931,2,-0.63,193102
1931,3,-0.02,193103
1931,4,-0.26,193104
1931,5,-0.35,193105
1931,6,0.05,193106
1931,7,0.17,193107
1931,8,0.18,193108
1931,9,0.19,193109
1931,10,0.4,193110
1931,11,-0.03,193111
1931,12,0.11,193112
1932,1,0.83,193201
1932,2,-0.38,193202
1932,3,-0.46,193203
1932,4,0.28,193204
1932,5,-0.21,193205
1932,6,-0.16,193206
1932,7,-0.02,193207
1932,8,-0.15,193208
1932,9,0.16,193209
1932,10,0.19,193210
1932,11,-0.26,193211
1932,12,-0.3,193212
1933,1,-0.59,193301
1933,2,-0.73,193302
1933,3,-0.47,193303
1933,4,-0.34,193304
1933,5,-0.28,193305
1933,6,-0.3,193306
1933,7,-0.15,193307
1933,8,-0.16,193308
1933,9,-0.29,193309
1933,10,-0.12,193310
1933,11,-0.13,193311
1933,12,-0.69,193312
1934,1,-0.38,193401
1934,2,0.44,193402
1934,3,-0.47,193403
1934,4,-0.44,193404
1934,5,0.21,193405
1934,6,-0.02,193406
1934,7,-0.04,193407
1934,8,-0.05,193408
1934,9,-0.36,193409
1934,10,0.02,193410
1934,11,0.26,193411
1934,12,0.12,193412
1935,1,-0.56,193501
1935,2,0.92,193502
1935,3,0.03,193503
1935,4,-0.64,193504
1935,5,-0.35,193505
1935,6,-0.2,193506
1935,7,-0.06,193507
1935,8,-0.1,193508
1935,9,-0.08,193509
1935,10,0.09,193510
1935,11,-0.76,193511
1935,12,-0.34,193512
1936,1,-0.58,193601
1936,2,-0.8,193602
1936,3,-0.26,193603
1936,4,-0.34,193604
1936,5,-0.03,193605
1936,6,-0.09,193606
1936,7,0.23,193607
1936,8,-0.02,193608
1936,9,-0.07,193609
1936,10,0.1,193610
1936,11,0.16,193611
1936,12,0.23,193612
1937,1,-0.49,193701
1937,2,0.23,193702
1937,3,-0.49,193703
1937,4,-0.33,193704
1937,5,0.08,193705
1937,6,0.19,193706
1937,7,-0.02,193707
1937,8,0.12,193708
1937,9,0.29,193709
1937,10,0.31,193710
1937,11,0.19,193711
1937,12,-0.26,193712
1938,1,0.17,193801
1938,2,0.14,193802
1938,3,0.32,193803
1938,4,0.53,193804
1938,5,0.17,193805
1938,6,-0.11,193806
1938,7,0.05,193807
1938,8,0.08,193808
1938,9,0.28,193809
1938,10,0.34,193810
1938,11,0.4,193811
1938,12,-0.26,193812
1939,1,0.18,193901
1939,2,0.04,193902
1939,3,-0.35,193903
1939,4,-0.18,193904
1939,5,0.16,193905
1939,6,0.1,193906
1939,7,0.06,193907
1939,8,0.1,193908
1939,9,-0.08,193909
1939,10,-0.18,193910
1939,11,0.08,193911
1939,12,1.25,193912
1940,1,-0.46,194001
1940,2,0.1,194002
1940,3,0.05,194003
1940,4,0.26,194004
1940,5,-0.03,194005
1940,6,0.1,194006
1940,7,0.15,194007
1940,8,0.01,194008
1940,9,0.22,194009
1940,10,0.08,194010
1940,11,0,194011
1940,12,0.43,194012
1941,1,0.03,194101
1941,2,0.28,194102
1941,3,-0.01,194103
1941,4,0.2,194104
1941,5,0.16,194105
1941,6,0.21,194106
1941,7,0.25,194107
1941,8,0.18,194108
1941,9,-0.17,194109
1941,10,0.32,194110
1941,11,-0.13,194111
1941,12,-0.06,194112
1942,1,0.34,194201
1942,2,-0.3,194202
1942,3,0.01,194203
1942,4,0.01,194204
1942,5,-0.01,194205
1942,6,0.15,194206
1942,7,-0.09,194207
1942,8,-0.06,194208
1942,9,0.08,194209
1942,10,0.17,194210
1942,11,0.27,194211
1942,12,0.14,194212
1943,1,-0.37,194301
1943,2,0.29,194302
1943,3,-0.12,194303
1943,4,0.24,194304
1943,5,0.19,194305
1943,6,-0.29,194306
1943,7,0,194307
1943,8,-0.11,194308
1943,9,0.01,194309
1943,10,0.42,194310
1943,11,0.12,194311
1943,12,0.57,194312
1944,1,0.8,194401
1944,2,0.36,194402
1944,3,0.35,194403
1944,4,0.01,194404
1944,5,0.08,194405
1944,6,0.12,194406
1944,7,0.15,194407
1944,8,0.15,194408
1944,9,0.42,194409
1944,10,0.38,194410
1944,11,-0.09,194411
1944,12,-0.29,194412
1945,1,-0.18,194501
1945,2,-0.64,194502
1945,3,-0.14,194503
1945,4,0.23,194504
1945,5,-0.11,194505
1945,6,-0.05,194506
1945,7,-0.11,194507
1945,8,0.39,194508
1945,9,0.15,194509
1945,10,0.21,194510
1945,11,-0.02,194511
1945,12,-0.52,194512
1946,1,0.33,194601
1946,2,0.31,194602
1946,3,-0.1,194603
1946,4,0.42,194604
1946,5,-0.01,194605
1946,6,-0.23,194606
1946,7,-0.02,194607
1946,8,-0.03,194608
1946,9,-0.05,194609
1946,10,-0.04,194610
1946,11,0.06,194611
1946,12,-0.68,194612
1947,1,-0.32,194701
1947,2,-0.14,194702
1947,3,0.35,194703
1947,4,0.26,194704
1947,5,0.01,194705
1947,6,0.01,194706
1947,7,-0.08,194707
1947,8,-0.07,194708
1947,9,0.03,194709
1947,10,0.47,194710
1947,11,0.16,194711
1947,12,-0.13,194712
1948,1,0.61,194801
1948,2,-0.02,194802
1948,3,-0.33,194803
1948,4,0.05,194804
1948,5,0.21,194805
1948,6,0.12,194806
1948,7,0.04,194807
1948,8,0.03,194808
1948,9,0.04,194809
1948,10,0.13,194810
1948,11,0.06,194811
1948,12,-0.19,194812
1949,1,0.49,194901
1949,2,-0.4,194902
1949,3,-0.16,194903
1949,4,0.03,194904
1949,5,0.11,194905
1949,6,-0.2,194906
1949,7,-0.17,194907
1949,8,0,194908
1949,9,-0.15,194909
1949,10,0.04,194910
1949,11,0.06,194911
1949,12,-0.35,194912
1950,1,-0.76,195001
1950,2,-0.46,195002
1950,3,-0.11,195003
1950,4,-0.31,195004
1950,5,-0.02,195005
1950,6,-0.12,195006
1950,7,-0.29,195007
1950,8,-0.38,195008
1950,9,-0.11,195009
1950,10,-0.25,195010
1950,11,-0.83,195011
1950,12,-0.15,195012
1951,1,-0.58,195101
1951,2,-0.99,195102
1951,3,-0.26,195103
1951,4,-0.11,195104
1951,5,0.16,195105
1951,6,-0.11,195106
1951,7,0.03,195107
1951,8,0.1,195108
1951,9,0.32,195109
1951,10,0.19,195110
1951,11,-0.02,195111
1951,12,0.59,195112
1952,1,0.31,195201
1952,2,0.06,195202
1952,3,-0.31,195203
1952,4,0.05,195204
1952,5,0.03,195205
1952,6,0.01,195206
1952,7,0.13,195207
1952,8,0.05,195208
1952,9,0.16,195209
1952,10,-0.23,195210
1952,11,-0.72,195211
1952,12,-0.12,195212
1953,1,0.21,195301
1953,2,0.39,195302
1953,3,0.49,195303
1953,4,0.36,195304
1953,5,0.18,195305
1953,6,0.18,195306
1953,7,0.06,195307
1953,8,0.14,195308
1953,9,0.16,195309
1953,10,0.2,195310
1953,11,-0.23,195311
1953,12,0.27,195312
1954,1,-0.68,195401
1954,2,-0.2,195402
1954,3,-0.2,195403
1954,4,-0.28,195404
1954,5,-0.36,195405
1954,6,-0.07,195406
1954,7,-0.12,195407
1954,8,0.04,195408
1954,9,0.08,195409
1954,10,0.11,195410
1954,11,0.41,195411
1954,12,-0.23,195412
1955,1,0.66,195501
1955,2,-0.05,195502
1955,3,-0.73,195503
1955,4,-0.45,195504
1955,5,-0.09,195505
